iter,time,reward,steps,convergence,,,
335,0.1669,92,10,2.629169708,2.436009618,2.742909189,3.131334174
336,0.1592,90,12,2.123814941,2.449686006,3.409376995,3.091152063
337,0.154,93,9,2.079341047,2.340253098,2.988376454,3.060101694
338,0.1614,92,10,2.703170697,2.372836958,3.012612056,2.861949702
339,0.3346,92,10,3.312704164,2.354545353,2.885753367,2.909149814
340,0.2139,92,10,3.452031739,2.371297672,2.70035092,3.450255043
341,0.2013,90,12,3.461128,2.370107537,2.740516978,3.503418955
342,0.2276,92,10,3.610181774,2.380484032,2.36454651,3.434080948
343,0.2639,91,11,3.667007483,2.802352134,2.976655948,3.450331435
344,0.2617,93,9,2.986161795,2.174854025,2.948473642,3.388423077
345,0.266,82,20,2.82421047,1.756732572,3.00138126,2.975499218
346,0.3049,86,16,2.753626841,1.73547808,2.34448933,2.863282119
347,0.3544,92,10,2.705317194,1.728957353,2.904408407,2.956380898
348,0.2624,91,11,2.500565496,1.735404361,3.247821337,2.852518607
349,0.3022,93,9,2.251167007,1.868883498,3.672661984,2.984958354
350,0.2653,90,12,2.108501268,1.883746183,3.756086472,2.785951113
351,0.1687,93,9,2.012861715,1.751515363,4.153797696,2.75342393
352,0.1778,93,9,2.373292494,1.73464767,4.439374716,3.241100347
353,0.187,90,12,2.344463833,2.048947737,3.943432634,3.810013754
354,0.1599,90,12,2.343423771,2.079778504,4.052057487,3.895656777
355,0.1741,89,13,2.34258132,2.11192727,3.993905954,3.865470402
356,0.191,90,12,2.390931151,2.153193359,4.104565893,3.881142296
357,0.2123,89,13,2.604364622,2.798885195,3.451594007,3.82073203
358,0.2109,92,10,2.288496002,2.892189724,3.105112797,3.90579042
359,0.2856,92,10,1.904938871,2.81082758,2.796845434,3.348350645
360,0.1771,92,10,2.374455891,2.83817966,2.737638394,2.968248803
361,0.1429,86,16,2.601333139,3.285773086,2.760212658,3.589026111
362,0.1728,93,9,2.232387363,3.452799022,2.714755342,3.58315963
363,0.2172,92,10,2.62417324,3.414986965,3.299198607,3.251714076
364,0.1672,90,12,2.751442559,3.354901045,3.253376119,3.221470544
365,0.1613,92,10,2.854530707,3.319620739,3.72561326,3.373738536
366,0.2033,89,13,2.829716687,3.287868465,3.665823236,3.309785255
367,0.1842,88,14,3.078353201,3.167449699,3.617393318,3.611336071
368,0.204,93,9,2.951957003,3.176667621,4.019783091,3.493989481
369,0.1574,90,12,3.058788944,3.281212675,4.058061206,3.45222289
370,0.169,91,11,2.690186067,3.347741197,4.102329496,3.447962814
371,0.1466,93,9,2.485735187,3.053863937,3.756961476,3.210934536
372,0.1417,90,12,2.371981498,3.544034048,3.182966462,2.808404904
373,0.1425,88,14,1.957927482,2.937363847,2.606885852,2.371313029
374,0.1964,92,10,1.791060471,2.941560815,3.19851708,2.77268471
375,0.279,92,10,1.772558085,3.344664667,3.401851631,2.600828044
376,0.2207,92,10,2.207346171,3.407099107,3.52932428,2.798534302
377,0.1915,88,14,1.854425832,2.974604875,3.507473704,2.402131484
378,0.1366,89,13,1.889967532,3.529933088,3.026253236,2.851856572
379,0.1715,91,11,1.816565156,3.749797064,2.836133864,3.020927567
380,0.2047,90,12,2.330438993,4.232627573,2.729072363,2.934056127
381,0.1526,91,11,2.451026848,4.249995657,3.073699799,2.680197942
382,0.1469,91,11,2.619188846,3.976588919,3.038603116,2.701065906
383,0.1659,92,10,3.059517243,4.282690732,3.077029309,2.875086239
384,0.2059,90,12,3.139950037,4.382099735,2.529630658,2.512703446
385,0.1836,89,13,3.191088458,4.137333724,1.76771151,2.562362947
386,0.1384,93,9,2.872955427,4.217403343,2.228460524,2.506503647
387,0.1718,92,10,2.82349697,4.18964132,2.955647306,2.593628201
388,0.1711,92,10,3.151614835,4.208381513,3.098378402,2.554915338
389,0.1363,92,10,3.495969829,3.953974147,3.229625251,2.400549181
390,0.18,93,9,3.142856213,3.992409215,3.692025159,2.593254729
